scaffold,split,sample_size,view,method,level,unit_level,iterations,observed_precision,observed_recall,observed_f1,precision_mean,precision_ci_low,precision_ci_high,recall_mean,recall_ci_low,recall_ci_high,f1_mean,f1_ci_low,f1_ci_high,units,requests
openhands,minimax_m25,1000,cumulative_raw,hybrid,session,session,200,0.9714656290531777,0.9986666666666667,0.9848783694937542,0.9701485167396683,0.9419765530578309,0.9920504793704749,0.9986925,0.9965,1.0,0.9841620678654683,0.9691142807641745,0.9951902681866167,1000,12000
openhands,minimax_m25,1000,cumulative_raw,hybrid,project,session,200,0.9930124223602484,1.0,0.9964939618231399,0.9925616784405145,0.9727507545529492,1.0,1.0,1.0,1.0,0.9962530455522939,0.986187138031869,1.0,1000,12000
openhands,minimax_m25,1000,cumulative_raw,hybrid,org,session,200,0.9748743718592965,1.0,0.9872773536895675,0.9758578790902636,0.9447290549476061,0.9959140176353195,1.0,1.0,1.0,0.987722478199127,0.9715790985895487,0.9979528264584735,1000,12000
openhands,minimax_m25,1000,cumulative_no_workspace,hybrid,session,session,200,0.9841413683733575,0.362,0.5293042524674059,0.9832547756954092,0.9437798334819225,1.0,0.3620158333333333,0.3366541666666667,0.38835,0.529012185075009,0.5020478303778529,0.5584864556031247,1000,12000
openhands,minimax_m25,1000,cumulative_no_workspace,hybrid,project,session,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,12000
openhands,minimax_m25,1000,cumulative_no_workspace,hybrid,org,session,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,12000
openhands,minimax_m25,1000,turn_delta_raw,hybrid,session,session,200,0.9441624365482234,0.062,0.1163590866437285,0.9475207116314877,0.8951957354934811,0.9830187852085662,0.061994999999999995,0.05499166666666666,0.06916666666666667,0.11634898282525813,0.10389628504244489,0.1285541545998398,1000,4000
openhands,minimax_m25,1000,turn_delta_raw,hybrid,project,session,200,0.9930114049987867,0.9998534010946052,0.9964206579171637,0.9925604475031841,0.9727423267044341,1.0,0.9998427152216683,0.9994572694254898,1.0,0.9961743922370795,0.9860282297260698,1.0,1000,4000
openhands,minimax_m25,1000,turn_delta_raw,hybrid,org,session,200,0.9748717411789342,0.9998926116838488,0.9872236653766633,0.9758555022770844,0.9447287945010165,0.9959131341455747,0.999897293156801,0.9996633194582639,1.0,0.9876711303077172,0.9715766384767348,0.9978442883124059,1000,4000
openhands,minimax_m25,1000,turn_delta_no_workspace,hybrid,session,session,200,0.9459459459459459,0.011666666666666667,0.02304906157392163,0.9504213233892085,0.8550439667806546,1.0,0.011666666666666667,0.008495833333333334,0.015179166666666669,0.02304412591183127,0.01682133831851252,0.029904271138484963,1000,4000
