view,feature_ablation,timestamp_adjacent_accuracy,timestamp_pairwise_accuracy,context_adjacent_accuracy,context_pairwise_accuracy,adjacent_pairs,ordered_pairs,evaluated_clusters
cumulative,none,0.7361111111111112,0.8472222222222222,0.7361111111111112,0.8472222222222222,288,576,96
cumulative,no_domains,0.7361111111111112,0.8472222222222222,0.7361111111111112,0.8472222222222222,288,576,96
cumulative,no_traces,0.7361111111111112,0.8472222222222222,0.7361111111111112,0.8472222222222222,288,576,96
cumulative,no_repo_ids,0.7361111111111112,0.8472222222222222,0.7361111111111112,0.8472222222222222,288,576,96
cumulative,no_shingles,0.0,0.0,0.0,0.0,0,0,0
cumulative,no_time_length,0.7297297297297297,0.8423423423423423,0.7297297297297297,0.8423423423423423,222,444,74
turn_delta,none,0.75,0.75,0.75,0.75,32,36,28
turn_delta,no_domains,0.75,0.75,0.75,0.75,32,36,28
turn_delta,no_traces,0.75,0.75,0.75,0.75,32,36,28
turn_delta,no_repo_ids,0.75,0.75,0.75,0.75,32,36,28
turn_delta,no_shingles,0.0,0.0,0.0,0.0,0,0,0
turn_delta,no_time_length,0.75,0.75,0.75,0.75,32,36,28
