method,level,unit_level,iterations,observed_precision,observed_recall,observed_f1,precision_mean,precision_ci_low,precision_ci_high,recall_mean,recall_ci_low,recall_ci_high,f1_mean,f1_ci_low,f1_ci_high,units,requests
hybrid,session,session,500,0.9714656290531777,0.9986666666666667,0.9848783694937542,0.9717073206283104,0.9421101423124068,0.9946800108258036,0.9986523333333334,0.9965000000000002,1.0,0.9849470541208423,0.9693207574070071,0.9960159362549801,1000,4000
hybrid,project,session,500,0.9930124223602484,1.0,0.9964939618231399,0.9926295957214006,0.9753921577615607,1.0,1.0,1.0,1.0,0.9962897799676778,0.9875427985640357,1.0,1000,4000
hybrid,org,session,500,0.9748743718592965,1.0,0.9872773536895675,0.9749048169231331,0.9384033084732655,0.9956176361882612,1.0,1.0,1.0,0.9872264862884829,0.9682229484386347,0.9978040050100352,1000,4000
temporal,session,session,500,0.10325523533070703,0.083,0.09202624041393329,0.10370366982323477,0.09395915468146339,0.11350532785708131,0.08329600000000001,0.07557916666666666,0.09083333333333334,0.09236477533627932,0.0840640627021108,0.10092830762567453,1000,4000
temporal,project,session,500,0.010952368461252408,0.3468530101641908,0.021234236242096617,0.010961796739706391,0.010121766455739683,0.012032544315346769,0.34811612616141335,0.3028941827020918,0.39558194215520315,0.02124972504406726,0.019663530855663545,0.023239364842527407,1000,4000
temporal,org,session,500,0.011699190993690585,0.27140607101947306,0.0224314549233375,0.011735428226961497,0.010772205426647249,0.013044209825698254,0.2723109213700176,0.23699245984294443,0.30655602632496315,0.022494482118179282,0.020712342268376288,0.02491191439457944,1000,4000
rare,session,session,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,4000
rare,project,session,500,0.9930124223602484,1.0,0.9964939618231399,0.9924228510223863,0.9737932121960384,1.0,1.0,1.0,1.0,0.9961836654037798,0.9867225922435761,1.0,1000,4000
rare,org,session,500,0.0034928732183045763,1.0,0.006961431040566484,0.0034829950396951426,0.002979636358271526,0.004017545013286216,1.0,1.0,1.0,0.006941673481243297,0.00594156899308805,0.008002937737877663,1000,4000
tool,session,session,500,0.0007501875468867217,1.0,0.0014992503748125937,0.0007509350327478579,0.0007508695068889774,0.0007510003324428139,1.0,1.0,1.0,0.0015007431049208445,0.0015006122497979175,0.0015008735083818783,1000,4000
tool,project,session,500,0.0025586396599149787,1.0,0.005104219461482898,0.002567263885077354,0.0021992014292904673,0.0030046690966664593,1.0,1.0,1.0,0.005121295315137715,0.004388750949313927,0.005991336208932559,1000,4000
tool,org,session,500,0.0034928732183045763,1.0,0.006961431040566484,0.0035107772504783512,0.002992722316791637,0.004109402127054223,1.0,1.0,1.0,0.006996828873302219,0.0059675853059897805,0.00818516809945654,1000,4000
