false_positive_cost,false_negative_cost,method,false_positive_pairs,false_negative_pairs,weighted_pair_error,weighted_error_per_true_pair
0.1,1.0,singleton,0,5400,5400.0,1.0
0.1,1.0,temporal,3897,4956,5345.7,0.9899444444444444
0.1,1.0,hybrid,176,8,25.6,0.004740740740740741
0.1,1.0,carp,368,0,36.800000000000004,0.006814814814814815
0.1,1.0,all_in_one,6472800,0,647280.0,119.86666666666666
1.0,1.0,singleton,0,5400,5400.0,1.0
1.0,1.0,temporal,3897,4956,8853.0,1.6394444444444445
1.0,1.0,hybrid,176,8,184.0,0.034074074074074076
1.0,1.0,carp,368,0,368.0,0.06814814814814815
1.0,1.0,all_in_one,6472800,0,6472800.0,1198.6666666666667
10.0,1.0,singleton,0,5400,5400.0,1.0
10.0,1.0,temporal,3897,4956,43926.0,8.134444444444444
10.0,1.0,hybrid,176,8,1768.0,0.3274074074074074
10.0,1.0,carp,368,0,3680.0,0.6814814814814815
10.0,1.0,all_in_one,6472800,0,64728000.0,11986.666666666666
100.0,1.0,singleton,0,5400,5400.0,1.0
100.0,1.0,temporal,3897,4956,394656.0,73.08444444444444
100.0,1.0,hybrid,176,8,17608.0,3.260740740740741
100.0,1.0,carp,368,0,36800.0,6.814814814814815
100.0,1.0,all_in_one,6472800,0,647280000.0,119866.66666666667
