source,risk_level,description,fields,covered_fields,precision,recall,f1,tp,fp,fn,predicted_values,evidence_coverage
predicted_hybrid_org,L1_technical,General technical stack,"build_tools,frameworks,languages,package_managers","build_tools,frameworks,languages,package_managers",0.8492667028788702,0.6206828106391425,0.7172018348623854,3127,555,1911,3682,1.0
predicted_hybrid_org,L2_project,Project/repository identifiers,repo_names,repo_names,0.8367346938775511,0.5161290322580645,0.6384428223844283,656,128,615,784,1.0
predicted_hybrid_org,L3_org_clues,Organization-like or business clues,"industries,service_names","industries,service_names",0.0030534351145038168,0.0015735641227380016,0.0020768431983385254,2,653,1269,655,1.0
predicted_hybrid_org,L4_security_environment,Security/deployment environment clues,"auth_systems,ci_cd_systems,cloud_providers,databases,internal_domains,security_clues","auth_systems,ci_cd_systems,cloud_providers,databases,internal_domains,security_clues",0.07806691449814127,0.49411764705882355,0.1348314606741573,42,496,43,538,1.0
predicted_hybrid_org,L5_high_risk_secrets,Secrets and credentials; excluded from Open-SWE profile claims,"api_keys,connection_strings,customer_data,tokens",,0.0,0.0,0.0,0,0,0,0,0.0
truth_cluster_upper_bound,L1_technical,General technical stack,"build_tools,frameworks,languages,package_managers","build_tools,frameworks,languages,package_managers",0.8495814204698893,0.6244541484716157,0.7198261068527628,3146,557,1892,3703,1.0
truth_cluster_upper_bound,L2_project,Project/repository identifiers,repo_names,repo_names,0.8398983481575604,0.5200629425649095,0.6423712342079689,661,126,610,787,1.0
truth_cluster_upper_bound,L3_org_clues,Organization-like or business clues,"industries,service_names","industries,service_names",0.00303951367781155,0.0015735641227380016,0.002073613271124935,2,656,1269,658,1.0
truth_cluster_upper_bound,L4_security_environment,Security/deployment environment clues,"auth_systems,ci_cd_systems,cloud_providers,databases,internal_domains,security_clues","auth_systems,ci_cd_systems,cloud_providers,databases,internal_domains,security_clues",0.07992565055762081,0.5058823529411764,0.13804173354735153,43,495,42,538,1.0
truth_cluster_upper_bound,L5_high_risk_secrets,Secrets and credentials; excluded from Open-SWE profile claims,"api_keys,connection_strings,customer_data,tokens",,0.0,0.0,0.0,0,0,0,0,0.0
