view,method,level,requests,precision,recall,f1,purity,split_rate,merge_rate,clusters,cross_workflow_precision,cross_workflow_recall,cross_workflow_f1,feature_window_chars,max_shingles,max_words
cumulative,hybrid,session,3600,0.9242424242424242,0.10166666666666667,0.1831831831831832,0.9972222222222222,0.9244444444444444,0.0012213740458015267,3275,,,,24000,1200,1500
cumulative,hybrid,project,3600,0.0,0.0,0.0,1.0,1.0,0.0,3600,0.0,0.0,0.0,24000,1200,1500
cumulative,hybrid,org,3600,0.0,0.0,0.0,1.0,1.0,0.0,3600,0.0,0.0,0.0,24000,1200,1500
cumulative,provider_lowcost,session,3600,0.9242424242424242,0.10166666666666667,0.1831831831831832,0.9972222222222222,0.9244444444444444,0.0012213740458015267,3275,,,,24000,1200,1500
cumulative,provider_lowcost,project,3600,0.0,0.0,0.0,1.0,1.0,0.0,3600,0.0,0.0,0.0,24000,1200,1500
cumulative,provider_lowcost,org,3600,0.0,0.0,0.0,1.0,1.0,0.0,3600,0.0,0.0,0.0,24000,1200,1500
cumulative,exact_message_nesting,session,3600,1.0,1.0,1.0,1.0,0.0,0.0,900,,,,24000,1200,1500
turn_delta,hybrid,session,3600,0.9555555555555556,0.007962962962962963,0.015794306703397612,0.9994444444444445,1.0,0.0005617977528089888,3560,,,,24000,1200,1500
turn_delta,hybrid,project,3600,0.0,0.0,0.0,1.0,1.0,0.0,3600,0.0,0.0,0.0,24000,1200,1500
turn_delta,hybrid,org,3600,0.0,0.0,0.0,1.0,1.0,0.0,3600,0.0,0.0,0.0,24000,1200,1500
turn_delta,provider_lowcost,session,3600,0.9555555555555556,0.007962962962962963,0.015794306703397612,0.9994444444444445,1.0,0.0005617977528089888,3560,,,,24000,1200,1500
turn_delta,provider_lowcost,project,3600,0.0,0.0,0.0,1.0,1.0,0.0,3600,0.0,0.0,0.0,24000,1200,1500
turn_delta,provider_lowcost,org,3600,0.0,0.0,0.0,1.0,1.0,0.0,3600,0.0,0.0,0.0,24000,1200,1500
turn_delta,exact_message_nesting,session,3600,0.0,0.0,0.0,1.0,1.0,0.0,3600,,,,24000,1200,1500
