sample_label,sample_size,sample_mode,sample_scope,source_workflows,source_requests,evaluated_requests,turn_delta_requests,view,result_dir,hybrid_session_f1,hybrid_project_f1,hybrid_org_f1,rare_project_f1,temporal_session_f1,tool_session_f1,feature_seconds,attack_seconds,evaluation_seconds
100_local_reservoir_seed7,100,reservoir,local_from_sweagent_minimax_raw_500,500,1200,400,400,cumulative_raw,results/open_swe_traces_sweagent_minimax_reservoir_100_seed7_local_turns_3_6_9_12_m0_fast,0.74,0.0,0.0,0.0,0.12,0.015,4.025,0.911,0.351
100_local_reservoir_seed7,100,reservoir,local_from_sweagent_minimax_raw_500,500,1200,400,400,cumulative_no_workspace,results/open_swe_traces_sweagent_minimax_reservoir_100_seed7_local_turns_3_6_9_12_no_workspace_fast,0.74,0.0,0.0,0.0,0.12,0.015,4.309,0.963,0.308
100_local_reservoir_seed7,100,reservoir,local_from_sweagent_minimax_raw_500,500,1200,400,400,turn_delta_raw,results/open_swe_traces_sweagent_minimax_reservoir_100_seed7_local_turn_delta_3_6_9_12_m0_fast,0.013,0.0,0.0,0.0,0.12,0.012,1.626,0.443,0.112
100_local_reservoir_seed7,100,reservoir,local_from_sweagent_minimax_raw_500,500,1200,400,400,turn_delta_no_workspace,results/open_swe_traces_sweagent_minimax_reservoir_100_seed7_local_turn_delta_3_6_9_12_no_workspace_fast,0.013,0.0,0.0,0.0,0.12,0.012,1.78,0.471,0.084
250_local_reservoir_seed7,250,reservoir,local_from_sweagent_minimax_raw_500,500,3000,1000,1000,cumulative_raw,results/open_swe_traces_sweagent_minimax_reservoir_250_seed7_local_turns_3_6_9_12_m0_fast,0.75,0.0,0.0,0.0,0.117,0.006,9.674,1.957,0.934
250_local_reservoir_seed7,250,reservoir,local_from_sweagent_minimax_raw_500,500,3000,1000,1000,cumulative_no_workspace,results/open_swe_traces_sweagent_minimax_reservoir_250_seed7_local_turns_3_6_9_12_no_workspace_fast,0.75,0.0,0.0,0.0,0.117,0.006,10.464,2.011,0.881
250_local_reservoir_seed7,250,reservoir,local_from_sweagent_minimax_raw_500,500,3000,1000,1000,turn_delta_raw,results/open_swe_traces_sweagent_minimax_reservoir_250_seed7_local_turn_delta_3_6_9_12_m0_fast,0.039,0.0,0.0,0.0,0.117,0.005,4.063,0.898,0.208
250_local_reservoir_seed7,250,reservoir,local_from_sweagent_minimax_raw_500,500,3000,1000,1000,turn_delta_no_workspace,results/open_swe_traces_sweagent_minimax_reservoir_250_seed7_local_turn_delta_3_6_9_12_no_workspace_fast,0.039,0.0,0.0,0.0,0.117,0.005,4.252,0.906,0.204
500_local_reservoir_seed7,500,reservoir,local_from_sweagent_minimax_raw_500,500,6000,2000,2000,cumulative_raw,results/open_swe_traces_sweagent_minimax_reservoir_500_seed7_local_turns_3_6_9_12_m0_fast,0.711,0.0,0.0,0.0,0.092,0.003,20.8,4.277,1.996
500_local_reservoir_seed7,500,reservoir,local_from_sweagent_minimax_raw_500,500,6000,2000,2000,cumulative_no_workspace,results/open_swe_traces_sweagent_minimax_reservoir_500_seed7_local_turns_3_6_9_12_no_workspace_fast,0.711,0.0,0.0,0.0,0.092,0.003,23.051,4.265,1.956
500_local_reservoir_seed7,500,reservoir,local_from_sweagent_minimax_raw_500,500,6000,2000,2000,turn_delta_raw,results/open_swe_traces_sweagent_minimax_reservoir_500_seed7_local_turn_delta_3_6_9_12_m0_fast,0.028,0.0,0.0,0.0,0.092,0.002,8.855,1.515,0.645
500_local_reservoir_seed7,500,reservoir,local_from_sweagent_minimax_raw_500,500,6000,2000,2000,turn_delta_no_workspace,results/open_swe_traces_sweagent_minimax_reservoir_500_seed7_local_turn_delta_3_6_9_12_no_workspace_fast,0.028,0.0,0.0,0.0,0.092,0.002,9.504,1.543,0.598
