overlay_level,snapshot,run_type,dataset_dir,result_dir,requests,users,workflows,projects,orgs,feature_ablation,hybrid_session_f1,hybrid_user_f1,hybrid_project_f1,hybrid_org_f1,rare_user_f1,temporal_user_f1,tool_user_f1,provider_lowcost_session_f1,provider_lowcost_user_f1,provider_lowcost_project_f1,provider_lowcost_org_f1
U3,first_1000_requests,hybrid_ablation,artifacts/datasets/open_swe_user_overlay_u3_mixed_1000_snapshots/first_1000_requests,results/open_swe_user_overlay_u3_first_1000_m0_ablation,1000,61,85,59,35,none,0.825,0.363,1.0,1.0,0.363,0.178,0.101,,,,
U3,first_4000_requests,hybrid_ablation,artifacts/datasets/open_swe_user_overlay_u3_mixed_1000_snapshots/first_4000_requests,results/open_swe_user_overlay_u3_first_4000_m0_ablation,4000,141,334,106,40,none,0.876,0.415,1.0,1.0,0.415,0.131,0.049,,,,
U3,first_8000_requests,hybrid_ablation,artifacts/datasets/open_swe_user_overlay_u3_mixed_1000_snapshots/first_8000_requests,results/open_swe_user_overlay_u3_first_8000_m0_ablation,8000,169,669,111,40,none,0.912,0.375,1.0,1.0,0.375,0.098,0.039,,,,
U3,first_1000_requests,provider_lowcost_streamed,artifacts/datasets/open_swe_user_overlay_u3_mixed_1000_snapshots/first_1000_requests,results/open_swe_user_overlay_u3_first_1000_provider_lowcost_streamed,1000,61,85,59,35,none,,,,,,,,0.24,0.265,0.762,0.685
U3,first_4000_requests,provider_lowcost_streamed,artifacts/datasets/open_swe_user_overlay_u3_mixed_1000_snapshots/first_4000_requests,results/open_swe_user_overlay_u3_first_4000_provider_lowcost_streamed,4000,141,334,106,40,none,,,,,,,,0.475,0.296,0.682,0.623
U3,first_8000_requests,provider_lowcost_streamed,artifacts/datasets/open_swe_user_overlay_u3_mixed_1000_snapshots/first_8000_requests,results/open_swe_user_overlay_u3_first_8000_provider_lowcost_streamed,8000,169,669,111,40,none,,,,,,,,0.653,0.267,0.656,0.611
U3,first_12000_requests,provider_lowcost_streamed,artifacts/datasets/open_swe_user_overlay_u3_mixed_1000_snapshots/first_12000_requests,results/open_swe_user_overlay_u3_first_12000_provider_lowcost_streamed,12000,175,1000,112,40,none,,,,,,,,0.691,0.281,0.639,0.604
U4,first_1000_requests,hybrid_ablation,artifacts/datasets/open_swe_user_overlay_u4_hard_shared_1000_snapshots/first_1000_requests,results/open_swe_user_overlay_u4_first_1000_m0_ablation,1000,71,88,54,29,none,0.88,0.067,1.0,1.0,0.067,0.116,0.049,,,,
U4,first_4000_requests,hybrid_ablation,artifacts/datasets/open_swe_user_overlay_u4_hard_shared_1000_snapshots/first_4000_requests,results/open_swe_user_overlay_u4_first_4000_m0_ablation,4000,149,336,76,30,none,0.92,0.055,1.0,1.0,0.055,0.09,0.027,,,,
U4,first_1000_requests,provider_lowcost_streamed,artifacts/datasets/open_swe_user_overlay_u4_hard_shared_1000_snapshots/first_1000_requests,results/open_swe_user_overlay_u4_first_1000_provider_lowcost_streamed,1000,71,88,54,29,none,,,,,,,,0.184,0.036,0.609,0.558
U4,first_4000_requests,provider_lowcost_streamed,artifacts/datasets/open_swe_user_overlay_u4_hard_shared_1000_snapshots/first_4000_requests,results/open_swe_user_overlay_u4_first_4000_provider_lowcost_streamed,4000,149,336,76,30,none,,,,,,,,0.442,0.029,0.573,0.549
U4,first_8000_requests,provider_lowcost_streamed,artifacts/datasets/open_swe_user_overlay_u4_hard_shared_1000_snapshots/first_8000_requests,results/open_swe_user_overlay_u4_first_8000_provider_lowcost_streamed,8000,178,669,78,30,none,,,,,,,,0.563,0.028,0.57,0.544
U4,first_12000_requests,provider_lowcost_streamed,artifacts/datasets/open_swe_user_overlay_u4_hard_shared_1000_snapshots/first_12000_requests,results/open_swe_user_overlay_u4_first_12000_provider_lowcost_streamed,12000,182,1000,78,30,none,,,,,,,,0.602,0.029,0.566,0.541
