overlay_level,snapshot,method,profile_level,field,precision,recall,f1,tp,fp,fn,evaluated_clusters
U3,first_1000_requests,hybrid,org,build_tools,0.4782608695652174,0.8048780487804879,0.6,66,72,16,35
U3,first_1000_requests,hybrid,org,home_aliases,0.0,0.0,0.0,0,45,0,35
U3,first_1000_requests,hybrid,org,internal_domains,0.7,0.5714285714285714,0.6292134831460674,56,24,42,35
U3,first_1000_requests,hybrid,org,languages,0.3490566037735849,0.45121951219512196,0.3936170212765957,37,69,45,35
U3,first_1000_requests,hybrid,org,org_aliases,1.0,1.0,1.0,35,0,0,35
U3,first_1000_requests,hybrid,org,package_managers,0.3770491803278688,0.8961038961038961,0.5307692307692308,69,114,8,35
U3,first_1000_requests,hybrid,org,project_aliases,0.0,0.0,0.0,0,66,0,35
U3,first_1000_requests,hybrid,org,service_names,0.9821428571428571,0.5670103092783505,0.7189542483660131,55,1,42,35
U3,first_1000_requests,hybrid,org,__micro__,0.44851904090267986,0.6751592356687898,0.5389830508474577,318,391,153,35
U3,first_1000_requests,hybrid,project,build_tools,0.30851063829787234,0.9830508474576272,0.4696356275303643,58,130,1,59
U3,first_1000_requests,hybrid,project,home_aliases,0.0,0.0,0.0,0,53,0,59
U3,first_1000_requests,hybrid,project,internal_domains,0.7,0.9491525423728814,0.8057553956834532,56,24,3,59
U3,first_1000_requests,hybrid,project,languages,0.1836734693877551,0.4576271186440678,0.2621359223300971,27,120,32,59
U3,first_1000_requests,hybrid,project,org_aliases,0.0,0.0,0.0,0,59,0,59
U3,first_1000_requests,hybrid,project,package_managers,0.19732441471571907,1.0,0.329608938547486,59,240,0,59
U3,first_1000_requests,hybrid,project,project_aliases,0.8939393939393939,1.0,0.944,59,7,0,59
U3,first_1000_requests,hybrid,project,service_names,0.9824561403508771,0.9491525423728814,0.9655172413793103,56,1,3,59
U3,first_1000_requests,hybrid,project,__micro__,0.33192834562697576,0.8898305084745762,0.4834996162701458,315,634,39,59
U3,first_1000_requests,hybrid,user,build_tools,0.7565217391304347,0.6744186046511628,0.7131147540983607,87,28,42,43
U3,first_1000_requests,hybrid,user,home_aliases,0.9772727272727273,1.0,0.9885057471264368,43,1,0,43
U3,first_1000_requests,hybrid,user,internal_domains,0.0,0.0,0.0,0,50,0,43
