overlay_level,train_snapshot,test_snapshot,truth_level,watchlist_source,train_requests,new_requests,targets,targets_with_future,watch_tokens,scored_pairs,pair_candidate_reduction,retrieved_at_50,correct_at_50,precision_at_50,recall_at_50,hit_at_50,mean_tokens_per_target
U3,first_1000_requests,first_4000_requests,user,truth_text,1000,3000,61,51,1952,2464,74.269,1880,835,0.444,0.663,0.941,32.0
U3,first_1000_requests,first_4000_requests,user,profile_truth,1000,3000,177,131,1804,324173,1.638,8850,1647,0.186,0.549,1.0,10.19
U3,first_1000_requests,first_4000_requests,user,predicted_cluster,1000,3000,44,36,1402,21004,6.285,1225,468,0.382,0.525,0.917,31.86
U3,first_1000_requests,first_4000_requests,project,truth_text,1000,3000,59,51,1888,3454,51.245,2027,1341,0.662,0.839,0.941,32.0
U3,first_1000_requests,first_4000_requests,project,profile_truth,1000,3000,112,98,640,101109,3.323,5600,1125,0.201,0.375,0.98,5.71
U3,first_1000_requests,first_4000_requests,project,predicted_cluster,1000,3000,59,51,1887,16296,10.862,1225,539,0.44,0.337,0.745,31.98
U3,first_1000_requests,first_4000_requests,org,truth_text,1000,3000,35,35,1120,2007,52.317,1429,1175,0.822,0.443,0.971,32.0
U3,first_1000_requests,first_4000_requests,org,profile_truth,1000,3000,40,40,681,62440,1.922,2000,576,0.288,0.192,0.975,17.02
U3,first_1000_requests,first_4000_requests,org,predicted_cluster,1000,3000,35,35,1120,3673,28.587,630,338,0.537,0.127,0.771,32.0
U4,first_1000_requests,first_4000_requests,user,truth_text,1000,3000,69,58,2202,13986,14.801,1387,347,0.25,0.272,0.586,31.91
U4,first_1000_requests,first_4000_requests,user,profile_truth,1000,3000,184,138,1874,208885,2.643,9200,505,0.055,0.168,0.928,10.18
U4,first_1000_requests,first_4000_requests,user,predicted_cluster,1000,3000,30,25,957,14791,6.085,608,150,0.247,0.265,0.84,31.9
U4,first_1000_requests,first_4000_requests,project,truth_text,1000,3000,53,50,1690,16130,9.857,1891,1503,0.795,0.7,0.88,31.89
U4,first_1000_requests,first_4000_requests,project,profile_truth,1000,3000,78,73,432,34391,6.804,3900,947,0.243,0.316,1.0,5.54
U4,first_1000_requests,first_4000_requests,project,predicted_cluster,1000,3000,53,50,1665,28364,5.606,1196,780,0.652,0.363,0.7,31.42
U4,first_1000_requests,first_4000_requests,org,truth_text,1000,3000,29,29,928,2255,38.581,1160,1034,0.891,0.361,0.897,32.0
U4,first_1000_requests,first_4000_requests,org,profile_truth,1000,3000,30,30,534,22791,3.949,1500,376,0.251,0.125,1.0,17.8
U4,first_1000_requests,first_4000_requests,org,predicted_cluster,1000,3000,29,29,922,6725,12.937,573,377,0.658,0.131,0.724,31.79
