experiment,level,metric,before_method,after_method,before_observed,after_observed,before_ci_low,before_ci_high,after_ci_low,after_ci_high,delta_observed,delta_ci_low,delta_ci_high,units,iterations
t3_entity_percolation,user,f1,bucket_local,cross_cache_entity,0.21419160549595334,0.7710771171739473,0.19619643330530695,0.23542540432816628,0.7328062455985269,0.8046587704019088,0.556885511677994,0.5221879765059954,0.590459200845806,234,500
t3_entity_percolation,project,f1,bucket_local,cross_cache_entity,0.1594519654216278,0.6857960693964463,0.14371593153549728,0.17624802680277818,0.6534209070016138,0.7169982972688498,0.5263441039748186,0.49751737490014036,0.5533223760968895,234,500
t3_entity_percolation,org,f1,bucket_local,cross_cache_entity,0.29697470901168893,0.7765496632660752,0.27554972473066336,0.3177221752673022,0.7556047908928645,0.7958966731243584,0.4795749542543863,0.4611127625915055,0.4973062189216567,234,500
t3_entity_watchlist,user,precision,,first2500_watchlist,,0.9497341710971484,,,0.900836059936382,0.9889313791462194,,,,136,500
t3_entity_watchlist,user,recall,,first2500_watchlist,,0.556657223796034,,,0.5326947175875585,0.5791573350452706,,,,136,500
t3_entity_watchlist,user,f1,,first2500_watchlist,,0.7019110555456333,,,0.6749463822183674,0.7253608680944219,,,,136,500
t3_entity_watchlist,project,precision,,first2500_watchlist,,1.0,,,1.0,1.0,,,,70,500
t3_entity_watchlist,project,recall,,first2500_watchlist,,0.7086874409820585,,,0.6886984387111061,0.7247440115934758,,,,70,500
t3_entity_watchlist,project,f1,,first2500_watchlist,,0.8295109146172975,,,0.8156559189726905,0.8404076175523807,,,,70,500
t3_entity_watchlist,org,precision,,first2500_watchlist,,1.0,,,1.0,1.0,,,,24,500
t3_entity_watchlist,org,recall,,first2500_watchlist,,0.7792998477929984,,,0.7541653560518672,0.8032681866162685,,,,24,500
t3_entity_watchlist,org,f1,,first2500_watchlist,,0.8759623609923011,,,0.8598566022908783,0.8909026316905222,,,,24,500
semantic_profile,org,f1,structured,minilm_semantic,0.8070811744386875,0.8068024861878453,0.7980591026074177,0.8160466396896404,0.7978911467602187,0.8157297744861206,-0.0002786882508422073,-0.0005567830232165782,-6.910464245954152e-05,432,500
