method,level,pairwise_precision,pairwise_recall,pairwise_f1,purity,split_rate,merge_rate,clusters,items,scenario,requests
temporal,session,0.4111111111111111,0.1284722222222222,0.19576719576719576,0.7992424242424242,0.6666666666666666,0.26458333333333334,480.0,792.0,small,792
temporal,user,0.3684210526315789,0.09185823754789273,0.1470520585754811,0.6224747474747475,0.25,0.4915254237288136,177.0,792.0,small,792
temporal,project,0.1114360266330754,0.13711597010794355,0.1229493956766684,0.2196969696969697,0.18181818181818182,1.0,15.0,792.0,small,792
temporal,org,0.15381500809789456,0.1067103620474407,0.12600427507923637,0.26641414141414144,0.1,1.0,15.0,792.0,small,792
rare,session,1.0,0.7173611111111111,0.8354225636878285,1.0,0.33796296296296297,0.0,302.0,792.0,small,792
rare,user,1.0,1.0,1.0,1.0,0.0,0.0,96.0,792.0,small,792
rare,project,0.0,0.0,0.0,1.0,0.18181818181818182,0.0,792.0,792.0,small,792
rare,org,0.664179104477612,1.0,0.7982062780269058,0.7727272727272727,0.0,0.02564102564102564,78.0,792.0,small,792
tool,session,0.005956896167060818,0.37083333333333335,0.011725440252953316,0.07828282828282829,0.6435185185185185,0.9117647058823529,34.0,792.0,small,792
tool,user,0.040962027575744055,0.35172413793103446,0.07337836217577234,0.1590909090909091,0.25,0.8823529411764706,34.0,792.0,small,792
tool,project,0.07503011913792335,0.37232216994187656,0.124892070300532,0.29797979797979796,0.18181818181818182,0.08823529411764706,34.0,792.0,small,792
tool,org,0.1264892240417652,0.35390137328339577,0.18636796949475692,0.32702020202020204,0.1,0.08823529411764706,34.0,792.0,small,792
hybrid,session,0.9790444258172674,0.8111111111111111,0.8872009115077858,0.9936868686868687,0.2175925925925926,0.0036900369003690036,271.0,792.0,small,792
hybrid,user,1.0,1.0,1.0,1.0,0.0,0.0,96.0,792.0,small,792
hybrid,project,0.0,0.0,0.0,1.0,0.18181818181818182,0.0,792.0,792.0,small,792
hybrid,org,1.0,0.7713795255930087,0.8709364813672804,1.0,0.05,0.0,84.0,792.0,small,792
provider_lowcost,session,0.5546875,0.19722222222222222,0.29098360655737704,0.8573232323232324,0.6666666666666666,0.13302752293577982,436.0,792.0,small,792
provider_lowcost,user,1.0,0.33793103448275863,0.5051546391752577,1.0,0.25,0.0,144.0,792.0,small,792
provider_lowcost,project,0.0,0.0,0.0,1.0,0.18181818181818182,0.0,792.0,792.0,small,792
provider_lowcost,org,1.0,0.2705056179775281,0.4258235684280345,1.0,0.1,0.0,108.0,792.0,small,792
temporal,session,0.19357462383082555,0.12395833333333334,0.15113510080965237,0.6144186046511628,0.6254071661237784,0.4737394957983193,952.0,2150.0,medium,2150
temporal,user,0.17465560865898228,0.06637286324786325,0.0961910660370055,0.38790697674418606,0.17266187050359713,0.75,264.0,2150.0,medium,2150
temporal,project,0.046567311549261005,0.12636690948672863,0.06805555555555555,0.11116279069767442,0.13533834586466165,1.0,15.0,2150.0,medium,2150
temporal,org,0.08583418186306273,0.0911229035639413,0.08839951062173283,0.15813953488372093,0.049586776859504134,1.0,15.0,2150.0,medium,2150
rare,session,1.0,0.7317708333333334,0.8451127819548871,1.0,0.2964169381107492,0.0,843.0,2150.0,medium,2150
rare,user,1.0,1.0,1.0,1.0,0.0,0.0,278.0,2150.0,medium,2150
rare,project,0.0,0.0,0.0,1.0,0.13533834586466165,0.0,2150.0,2150.0,medium,2150
rare,org,0.08285565398645128,1.0,0.1530317613089509,0.1813953488372093,0.0,0.004329004329004329,231.0,2150.0,medium,2150
tool,session,0.0022475610624510434,0.39453125,0.004469659420802946,0.05162790697674419,0.5879478827361564,0.9811320754716981,53.0,2150.0,medium,2150
tool,user,0.02045058036032187,0.3681891025641026,0.038748903730688795,0.11953488372093023,0.17266187050359713,0.9433962264150944,53.0,2150.0,medium,2150
tool,project,0.03413029029884403,0.3852633341706439,0.06270552850381382,0.21674418604651163,0.13533834586466165,0.20754716981132076,53.0,2150.0,medium,2150
tool,org,0.08232601058653184,0.3635547693920335,0.13425119510731773,0.2427906976744186,0.049586776859504134,0.20754716981132076,53.0,2150.0,medium,2150
hybrid,session,0.9765698219306467,0.8140625,0.8879420536855561,0.9930232558139535,0.2003257328990228,0.003896103896103896,770.0,2150.0,medium,2150
hybrid,user,1.0,1.0,1.0,1.0,0.0,0.0,278.0,2150.0,medium,2150
hybrid,project,0.0,0.0,0.0,1.0,0.13533834586466165,0.0,2150.0,2150.0,medium,2150
hybrid,org,1.0,0.6537604821802935,0.7906350275323851,1.0,0.04132231404958678,0.0,252.0,2150.0,medium,2150
provider_lowcost,session,0.5959595959595959,0.19973958333333333,0.29920031207333725,0.8813953488372093,0.6254071661237784,0.10608552631578948,1216.0,2150.0,medium,2150
provider_lowcost,user,1.0,0.3435897435897436,0.5114503816793893,1.0,0.17266187050359713,0.0,374.0,2150.0,medium,2150
provider_lowcost,project,0.0,0.0,0.0,1.0,0.13533834586466165,0.0,2150.0,2150.0,medium,2150
provider_lowcost,org,1.0,0.23132861635220126,0.3757382282521947,1.0,0.049586776859504134,0.0,296.0,2150.0,medium,2150
temporal,session,0.07715914072775099,0.04583333333333333,0.057506943309916674,0.5486111111111112,0.5,0.5081081081081081,1110.0,2304.0,hard_shared,2304
temporal,user,0.09945564219508607,0.03611111111111111,0.052984284986479606,0.3103298611111111,0.1111111111111111,0.7986798679867987,303.0,2304.0,hard_shared,2304
temporal,project,0.03987140700009201,0.12357628113729766,0.060290362707869576,0.09765625,0.08333333333333333,1.0,15.0,2304.0,hard_shared,2304
temporal,org,0.07614913757177881,0.09217767295597484,0.08340026496033004,0.15755208333333334,0.030303030303030304,1.0,15.0,2304.0,hard_shared,2304
rare,session,1.0,0.46067708333333335,0.630771973613835,1.0,0.4114583333333333,0.0,1306.0,2304.0,hard_shared,2304
rare,user,1.0,1.0,1.0,1.0,0.0,0.0,432.0,2304.0,hard_shared,2304
rare,project,0.0,0.0,0.0,1.0,0.08571428571428572,0.0,2304.0,2304.0,hard_shared,2304
rare,org,0.08285565398645128,1.0,0.1530317613089509,0.2361111111111111,0.0,0.0025974025974025974,385.0,2304.0,hard_shared,2304
tool,session,0.001981752295652152,0.8080729166666667,0.0039538081046058115,0.014756944444444444,0.22135416666666666,0.6521739130434783,23.0,2304.0,hard_shared,2304
tool,user,0.019388984190687616,0.8108707264957264,0.03787238979407769,0.0390625,0.1111111111111111,0.6086956521739131,23.0,2304.0,hard_shared,2304
tool,project,0.03076154723570143,0.8079510190388325,0.059266605594557896,0.07118055555555555,0.07857142857142857,0.391304347826087,23.0,2304.0,hard_shared,2304
tool,org,0.07901335176071315,0.8105214884696017,0.1439899070428404,0.09765625,0.030303030303030304,0.391304347826087,23.0,2304.0,hard_shared,2304
hybrid,session,0.9771376314586191,0.5565104166666667,0.7091421934627509,0.9956597222222222,0.3359375,0.0016488046166529267,1213.0,2304.0,hard_shared,2304
