field,precision,recall,f1,tp,fp,fn,predicted_values,evidenced_values,unsupported_predictions,evidence_coverage,scenario,method,level
auth_systems,1.0,1.0,1.0,8,0,0,12,12,0,1.0,small,hybrid,org
build_tools,0.0,0.0,0.0,0,5,0,5,5,0,1.0,small,hybrid,org
ci_cd_systems,1.0,1.0,1.0,8,0,0,12,12,0,1.0,small,hybrid,org
cloud_providers,1.0,1.0,1.0,8,0,0,12,12,0,1.0,small,hybrid,org
databases,1.0,1.0,1.0,13,0,0,14,14,0,1.0,small,hybrid,org
frameworks,0.8666666666666667,1.0,0.9285714285714286,13,2,0,16,16,0,1.0,small,hybrid,org
industries,1.0,1.0,1.0,8,0,0,12,12,0,1.0,small,hybrid,org
internal_domains,1.0,1.0,1.0,12,0,0,12,12,0,1.0,small,hybrid,org
languages,1.0,0.5454545454545454,0.7058823529411764,6,0,5,7,7,0,1.0,small,hybrid,org
package_managers,0.0,0.0,0.0,0,14,0,15,15,0,1.0,small,hybrid,org
repo_names,1.0,1.0,1.0,16,0,0,16,16,0,1.0,small,hybrid,org
security_clues,1.0,1.0,1.0,24,0,0,36,36,0,1.0,small,hybrid,org
service_names,1.0,1.0,1.0,16,0,0,16,16,0,1.0,small,hybrid,org
__micro__,0.8627450980392157,0.9635036496350365,0.9103448275862068,132,21,5,185,185,0,1.0,small,hybrid,org
auth_systems,1.0,1.0,1.0,12,0,0,22,22,0,1.0,medium,hybrid,org
build_tools,0.0,0.0,0.0,0,11,0,16,16,0,1.0,medium,hybrid,org
ci_cd_systems,1.0,1.0,1.0,12,0,0,22,22,0,1.0,medium,hybrid,org
cloud_providers,1.0,1.0,1.0,12,0,0,22,22,0,1.0,medium,hybrid,org
databases,1.0,1.0,1.0,20,0,0,28,28,0,1.0,medium,hybrid,org
frameworks,0.75,1.0,0.8571428571428571,24,8,0,42,42,0,1.0,medium,hybrid,org
industries,1.0,1.0,1.0,12,0,0,22,22,0,1.0,medium,hybrid,org
internal_domains,1.0,1.0,1.0,22,0,0,22,22,0,1.0,medium,hybrid,org
languages,1.0,0.35,0.5185185185185185,7,0,13,9,9,0,1.0,medium,hybrid,org
package_managers,0.0,0.0,0.0,0,16,0,26,26,0,1.0,medium,hybrid,org
repo_names,1.0,1.0,1.0,36,0,0,36,36,0,1.0,medium,hybrid,org
security_clues,1.0,1.0,1.0,36,0,0,66,66,0,1.0,medium,hybrid,org
service_names,1.0,1.0,1.0,35,0,0,35,35,0,1.0,medium,hybrid,org
__micro__,0.8669201520912547,0.946058091286307,0.9047619047619047,228,35,13,368,368,0,1.0,medium,hybrid,org
auth_systems,1.0,1.0,1.0,12,0,0,22,22,0,1.0,hard_shared,hybrid,org
build_tools,0.0,0.0,0.0,0,5,0,8,8,0,1.0,hard_shared,hybrid,org
ci_cd_systems,1.0,1.0,1.0,12,0,0,22,22,0,1.0,hard_shared,hybrid,org
cloud_providers,1.0,1.0,1.0,12,0,0,22,22,0,1.0,hard_shared,hybrid,org
databases,1.0,1.0,1.0,13,0,0,23,23,0,1.0,hard_shared,hybrid,org
frameworks,0.7894736842105263,1.0,0.8823529411764706,15,4,0,29,29,0,1.0,hard_shared,hybrid,org
industries,1.0,1.0,1.0,12,0,0,22,22,0,1.0,hard_shared,hybrid,org
internal_domains,1.0,1.0,1.0,22,0,0,22,22,0,1.0,hard_shared,hybrid,org
languages,1.0,0.35714285714285715,0.5263157894736842,5,0,9,8,8,0,1.0,hard_shared,hybrid,org
package_managers,0.0,0.0,0.0,0,13,0,21,21,0,1.0,hard_shared,hybrid,org
repo_names,1.0,1.0,1.0,33,0,0,36,36,0,1.0,hard_shared,hybrid,org
security_clues,1.0,1.0,1.0,36,0,0,66,66,0,1.0,hard_shared,hybrid,org
service_names,1.0,1.0,1.0,34,0,0,35,35,0,1.0,hard_shared,hybrid,org
__micro__,0.9035087719298246,0.958139534883721,0.9300225733634312,206,22,9,336,336,0,1.0,hard_shared,hybrid,org
