dataset,status,requests,workflows,level,feature_ablation,pairwise_precision,pairwise_recall,pairwise_f1,clusters,candidate_pairs_considered,candidate_pairs_linked,candidate_reduction_vs_all_pairs,total_stream_seconds,max_rss_mb
tau_bench_historical_sample200,real_historical_trace_sample,2175,200,session,none,0.523,0.407,0.458,871,145878,4480,16.207,18.306,379.641
tau_bench_historical_sample200,real_historical_trace_sample,2175,200,user,none,0.000,0.000,0.000,2175,145878,4480,16.207,18.306,379.641
tau_bench_historical_sample200,real_historical_trace_sample,2175,200,project,none,0.000,0.000,0.000,2175,145878,4480,16.207,18.306,379.641
tau_bench_historical_sample200,real_historical_trace_sample,2175,200,org,none,0.000,0.000,0.000,2175,145878,4480,16.207,18.306,379.641
tau_bench_historical_sample200,real_historical_trace_sample,2175,200,session,no_tool_schema,0.523,0.407,0.458,871,145878,4480,16.207,17.179,381.598
tau_bench_historical_sample200,real_historical_trace_sample,2175,200,user,no_tool_schema,0.000,0.000,0.000,2175,145878,4480,16.207,17.179,381.598
tau_bench_historical_sample200,real_historical_trace_sample,2175,200,project,no_tool_schema,0.000,0.000,0.000,2175,145878,4480,16.207,17.179,381.598
tau_bench_historical_sample200,real_historical_trace_sample,2175,200,org,no_tool_schema,0.000,0.000,0.000,2175,145878,4480,16.207,17.179,381.598
tau_bench_historical_sample200,real_historical_trace_sample,2175,200,session,no_paths,0.523,0.407,0.458,871,145878,4480,16.207,16.824,381.699
tau_bench_historical_sample200,real_historical_trace_sample,2175,200,user,no_paths,0.000,0.000,0.000,2175,145878,4480,16.207,16.824,381.699
tau_bench_historical_sample200,real_historical_trace_sample,2175,200,project,no_paths,0.000,0.000,0.000,2175,145878,4480,16.207,16.824,381.699
tau_bench_historical_sample200,real_historical_trace_sample,2175,200,org,no_paths,0.000,0.000,0.000,2175,145878,4480,16.207,16.824,381.699
tau_bench_historical_sample200,real_historical_trace_sample,2175,200,session,no_repo_ids,0.523,0.407,0.458,871,145878,4480,16.207,15.790,381.699
tau_bench_historical_sample200,real_historical_trace_sample,2175,200,user,no_repo_ids,0.000,0.000,0.000,2175,145878,4480,16.207,15.790,381.699
tau_bench_historical_sample200,real_historical_trace_sample,2175,200,project,no_repo_ids,0.000,0.000,0.000,2175,145878,4480,16.207,15.790,381.699
tau_bench_historical_sample200,real_historical_trace_sample,2175,200,org,no_repo_ids,0.000,0.000,0.000,2175,145878,4480,16.207,15.790,381.699
