condition,method,arrival_spacing_seconds,jitter_seconds,peak_active_workflows,precision,recall,f1,f1_ci_low,f1_ci_high,workflows,requests
original,temporal,original,0,2,0.702,0.774,0.736,0.674,0.807,160,1736
original,provider_lowcost,original,0,2,0.521,0.471,0.495,0.438,0.558,160,1736
original,intent_hash,original,0,2,1.0,1.0,1.0,1.0,1.0,160,1736
original,carp_content_semantic,original,0,2,0.922,1.0,0.96,0.896,1.0,160,1736
original,carp_content,original,0,2,0.922,1.0,0.96,0.896,1.0,160,1736
concurrent_8,temporal,60,120,10,0.069,0.709,0.125,0.117,0.136,160,1736
concurrent_8,provider_lowcost,60,120,10,0.011,0.519,0.021,0.019,0.024,160,1736
concurrent_8,intent_hash,60,120,10,1.0,1.0,1.0,1.0,1.0,160,1736
concurrent_8,carp_content_semantic,60,120,10,0.922,1.0,0.96,0.896,1.0,160,1736
concurrent_8,carp_content,60,120,10,0.922,1.0,0.96,0.896,1.0,160,1736
concurrent_32,temporal,15,300,41,0.018,0.666,0.035,0.033,0.038,160,1736
concurrent_32,provider_lowcost,15,300,41,0.011,0.521,0.021,0.019,0.024,160,1736
concurrent_32,intent_hash,15,300,41,1.0,1.0,1.0,1.0,1.0,160,1736
concurrent_32,carp_content_semantic,15,300,41,0.922,1.0,0.96,0.896,1.0,160,1736
concurrent_32,carp_content,15,300,41,0.922,1.0,0.96,0.896,1.0,160,1736
burst_160,temporal,0,600,146,0.007,0.575,0.013,0.013,0.014,160,1736
burst_160,provider_lowcost,0,600,146,0.011,0.521,0.021,0.019,0.024,160,1736
burst_160,intent_hash,0,600,146,1.0,1.0,1.0,1.0,1.0,160,1736
burst_160,carp_content_semantic,0,600,146,0.922,1.0,0.96,0.896,1.0,160,1736
burst_160,carp_content,0,600,146,0.922,1.0,0.96,0.896,1.0,160,1736
concurrent_32_rephrased_intent,intent_hash,15,300,41,1.0,0.183,0.309,0.287,0.337,160,1736
concurrent_32_rephrased_intent,carp_content,15,300,41,0.944,0.762,0.843,0.791,0.878,160,1736
